Reactions: R10246,R05666,R03560,R03608,R03566,R07665,R04136,R07667,R01628,R07668,R05699 | Compounds: C00082,C01468,C01455,C01542,C02923,C01467,C03351,C03067,C00587,C00230,C06672,C00755
Reactions: R10246,R07663,R05281,R05271,R05272,R01636,R10136,R05699 | Compounds: C00082,C01468,C06677,C06678,C06679,C02236,C00230,C06672,C00755
Reactions: R10246,R03568,R05294,R05281,R05271,R05272,R01636,R05274,R05273 | Compounds: C00082,C01468,C06730,C06677,C06678,C06679,C02236,C00230,C06672,C00755
Reactions: R10246,R02675,R01293,R01298,R10136,R05699 | Compounds: C00082,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R10246,R02675,R01303,R01298,R10136,R05699 | Compounds: C00082,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R00737,R01308,R01298,R07668,R05699 | Compounds: C00082,C00811,C00156,C00230,C06672,C00755
Reactions: R10246,R02675,R01294,R01296,R10136,R05273 | Compounds: C00082,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R10246,R05666,R12504,R06791,R02515,R02520,R02655,R02589,R01427,R01295,R01298,R10136,R05273 | Compounds: C00082,C01468,C01455,C07086,C05593,C00544,C05585,C00628,C00587,C00180,C00156,C00230,C06672,C00755
Reactions: R10246,R05666,R03562,R07665,R04136,R07666,R01427,R01295,R01298,R07668,R05273 | Compounds: C00082,C01468,C01455,C01467,C03351,C03067,C00587,C00180,C00156,C00230,C06672,C00755
Reactions: R10246,R02675,R01294,R01298,R07668,R05273 | Compounds: C00082,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R10246,R02675,R06886,R06885,R06883,R06884,R06888,R06889,R01238,R11653,R00822,R05274,R05699 | Compounds: C00082,C01468,C00633,C13632,C13629,C13624,C13631,C13634,C00156,C00146,C00090,C00230,C06672,C00755
Reactions: R10246,R12133,R12134,R01303,R01296,R05274,R05699 | Compounds: C00082,C01468,C17467,C00633,C00156,C00230,C06672,C00755
Reactions: R10246,R02675,R01293,R01296,R05274,R05273 | Compounds: C00082,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R10246,R02675,R01303,R01299,R06851,R01629,R07668,R05273 | Compounds: C00082,C01468,C00633,C00156,C00530,C02814,C00230,C06672,C00755
Reactions: R09254,R06632,R02673,R01294,R05000,R04985,R08768,R08769,R07240,R12302 | Compounds: C00082,C01179,C03198,C00633,C00156,C05848,C05807,C17551,C00021,C10469,C00755
Reactions: R10246,R02675,R01293,R01298,R07668,R05273 | Compounds: C00082,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R01815,R11916,R04300,R04305,R05123,R07240,R12302 | Compounds: C00082,C00355,C04043,C03758,C06160,C00021,C10469,C00755
Reactions: R10246,R02675,R01293,R01296,R10136,R05273 | Compounds: C00082,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R10246,R02675,R01293,R01296,R05274,R05699 | Compounds: C00082,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R10246,R02675,R01294,R01296,R10136,R05699 | Compounds: C00082,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R05671,R05672,R05673,R10060,R00372,R00525,R03189,R02301,R01218,R07168,R10136,R05699 | Compounds: C00082,C07027,C07028,C00021,C00037,C00025,C01045,C03479,C00445,C00143,C00440,C06672,C00755
Reactions: R10246,R02675,R01303,R01296,R07668,R05273 | Compounds: C00082,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R09254,R06632,R02673,R01294,R01296,R10136,R05699 | Compounds: C00082,C01179,C03198,C00633,C00156,C00230,C06672,C00755
