Generation,Best Fitness
0,-0.5432997676220015
1,-0.6184302325581389
2,-0.6184302325581389
3,-0.6184302325581389
4,-0.6184302325581389
5,-0.6184302325581389
6,-0.6184302325581389
7,-0.6184302325581412
8,-0.6184302325581412
9,-0.6184302325581412
10,-0.6184302325581412
11,-0.6184302325581412
12,-0.6184302325581412
13,-0.6184302325581412
14,-0.6184302325581412
15,-0.6184302325581412
16,-0.6184302325581412
17,-0.6184302325581412
18,-0.6184302325581412
19,-0.6184302325581412
20,-0.6184302325581412
