Fitness,Total Reactions,Length,Net_count,Net_Tox,Network_yield,Gibbs
999.0,7,7,3.5,3.182514307134955,-999,-7.805580638379172
999.0,6,5,3.6,6.112426033062013,-999,-11.477890682153287
999.0,5,5,2.5,0.3211576936513508,-999,-13.797966716301023
999.0,7,6,3.5,9.117773766531855,-999,3.4501414131979082
999.0,8,7,4.15,2.065221903387576,-999,-11.808482655556093
999.0,9,8,4.8,3.5492603581027935,-999,-6.850572171500317
999.0,11,9,5.5375,1.8084294780762262,-999,-0.31152000897932197
999.0,6,5,3.3,2.065221903387576,-999,-13.706374554247251
999.0,13,10,6.5975,2.4400938385831368,-999,-18.074050912783395
999.0,8,8,4.0,2.065221903387576,-999,10.519800278571115
999.0,7,6,4.1,3.1743884229072328,-999,-6.850572171500317
999.0,11,8,5.56,2.065221903387576,-999,-16.143808176012286
-0.5301587301587307,8,6,4.1,6.112426033062013,0.5301587301587307,57.500411627639295
999.0,4,4,2.0,3.283709421478479,-999,-23.826319241366242
-0.5432997676220015,19,9,10.2,6.112426033062013,0.5432997676220015,57.500411627639295
999.0,7,7,3.5,3.182514307134955,-999,-7.805580638379172
999.0,6,5,3.6,6.112426033062013,-999,-11.477890682153287
999.0,5,5,2.5,0.3211576936513508,-999,-13.797966716301023
999.0,7,6,3.5,9.117773766531855,-999,3.4501414131979082
999.0,8,7,4.15,2.065221903387576,-999,-11.808482655556093
999.0,9,8,4.8,3.5492603581027935,-999,-6.850572171500317
999.0,11,9,5.5375,1.8084294780762262,-999,-0.31152000897932197
999.0,6,5,3.3,2.065221903387576,-999,-13.706374554247251
999.0,13,10,6.5975,2.4400938385831368,-999,-18.074050912783395
999.0,8,8,4.0,2.065221903387576,-999,10.519800278571115
999.0,7,6,4.1,3.1743884229072328,-999,-6.850572171500317
999.0,11,8,5.56,2.065221903387576,-999,-16.143808176012286
-0.5301587301587307,8,6,4.1,6.112426033062013,0.5301587301587307,57.500411627639295
999.0,4,4,2.0,3.283709421478479,-999,-23.826319241366242
-0.5432997676220015,19,9,10.2,6.112426033062013,0.5432997676220015,57.500411627639295
999.0,7,6,3.5,9.117773766531855,-999,3.4501414131979082
999.0,9,8,4.8,3.5492603581027935,-999,-6.850572171500317
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
999.0,8,7,4.15,2.065221903387576,-999,-11.808482655556093
999.0,6,5,3.3,2.065221903387576,-999,-13.706374554247251
999.0,11,9,5.5375,1.8084294780762262,-999,-0.31152000897932197
999.0,7,7,3.5,3.182514307134955,-999,-7.805580638379172
-0.611321839080461,7,6,4.1,7.2215925525816695,0.611321839080461,-6.850572171500317
999.0,4,4,2.0,3.283709421478479,-999,-23.826319241366242
999.0,6,5,3.6,6.112426033062013,-999,-11.477890682153287
999.0,11,8,5.56,2.065221903387576,-999,-16.143808176012286
999.0,10,8,5.06,2.065221903387576,-999,-21.16859090388458
999.0,8,8,4.0,2.065221903387576,-999,10.519800278571115
999.0,5,5,2.5,0.3211576936513508,-999,-13.797966716301023
999.0,8,6,4.1,0.3303457491225785,-999,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.611321839080461,7,6,4.1,7.2215925525816695,0.611321839080461,-6.850572171500317
-0.611321839080461,7,6,4.1,7.2215925525816695,0.611321839080461,-6.850572171500317
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
999.0,9,7,5.1,2.065221903387576,-999,-14.313467446154359
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.611321839080461,7,6,4.1,7.2215925525816695,0.611321839080461,-6.850572171500317
-0.611321839080461,7,6,4.1,7.2215925525816695,0.611321839080461,-6.850572171500317
-0.611321839080461,7,6,4.1,7.2215925525816695,0.611321839080461,-6.850572171500317
-0.611321839080461,7,6,4.1,7.2215925525816695,0.611321839080461,-6.850572171500317
-0.5432997676220005,13,7,7.2,4.377549878797016,0.5432997676220005,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
999.0,19,9,10.2,2.065221903387576,-999,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.611321839080461,7,6,4.1,7.2215925525816695,0.611321839080461,-6.850572171500317
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
999.0,10,7,5.525,1.5284872695771465,-999,93.77911595603535
-0.6184302325581388,7,6,4.1,5.486716398316672,0.6184302325581388,-6.850572171500317
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581388,7,6,4.1,5.486716398316672,0.6184302325581388,-6.850572171500317
-0.5432997676220005,13,7,7.2,4.377549878797016,0.5432997676220005,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
999.0,13,7,7.2,0.3303457491225785,-999,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
999.0,23,13,12.275,2.107980715112737,-999,-9.816825535316603
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.618430232558136,13,7,7.2,4.377549878797016,0.618430232558136,-16.143808176012286
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.618430232558136,13,7,7.2,4.377549878797016,0.618430232558136,-16.143808176012286
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.611321839080458,21,13,11.2,7.316684696533512,0.611321839080458,-2.114180824366729
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
999.0,19,9,10.2,2.065221903387576,-999,57.500411627639295
999.0,13,7,7.2,0.3303457491225785,-999,57.500411627639295
999.0,14,7,7.7,2.065221903387576,-999,-16.143808176012286
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
-0.6184302325581389,19,9,10.2,6.112426033062013,0.6184302325581389,57.500411627639295
