Generation,Best Fitness
0,-0.6184302325581403
1,-0.6257058823529413
2,-0.6257058823529413
3,-0.6257058823529413
4,-0.6257058823529413
5,-0.6257058823529413
6,-0.6331547619047607
7,-0.6331547619047607
8,-0.6331547619047607
9,-0.6331547619047607
10,-0.6331547619047607
11,-0.6331547619047607
12,-0.6331547619047607
13,-0.6331547619047607
14,-0.6331547619047607
15,-0.6331547619047607
16,-0.6331547619047607
17,-0.6331547619047607
18,-0.6331547619047607
19,-0.6331547619047607
20,-0.6331547619047607
