Generation,Best Fitness
0,-3.3214285714284553
1,-3.3214285714284553
2,-3.3214285714284553
3,-3.3214285714284553
4,-3.3214285714284553
5,-3.3214285714284553
6,-5.533985615079344
7,-5.533985615079344
8,-5.533985615079344
9,-5.533985615079344
10,-5.533985615079344
11,-5.5728206018518325
12,-5.5728206018518325
13,-5.5728206018518325
14,-5.5728206018518325
15,-5.5728206018518325
16,-5.5728206018518325
17,-5.5728206018518325
18,-5.5728206018518325
19,-5.5728206018518325
20,-5.5728206018518325
