Fitness,Total Reactions,Length,Net_count,Net_Tox,Network_yield,Gibbs
999.0,8,8,4.0,2.065221903387576,-999,-7.018336914723667
-0.5301587301587299,5,5,2.5,6.112426033062013,0.5301587301587299,-1.3666607397570374
999.0,13,9,6.95,2.065221903387576,-999,57.500411627639295
-0.37049572649572604,10,6,5.25,1.3054384683619733,0.37049572649572604,-10.536490368480237
999.0,13,11,6.5,11.49934722355931,-999,6.6061329048765565
999.0,7,5,4.25,4.377549878797016,-999,-11.477890682153287
999.0,8,8,4.0,4.377549878797016,-999,-12.077827049001456
-0.6184302325581406,13,11,6.5,4.377549878797016,0.6184302325581406,-11.468681807882778
-0.6720138888888859,14,10,7.15,6.078903133103479,0.6720138888888859,-2.489744180742301
