Generation,Best Fitness
0,-0.4150958798792306
1,-0.4150958798792306
2,-0.4150958798792306
3,-1.3714613926814119
4,-1.3714613926814119
5,-1.3714613926814119
6,-1.3714613926814119
7,-1.3714613926814119
8,-1.3714613926814119
9,-1.3714613926814119
10,-1.3714613926814119
11,-1.3714613926814119
12,-1.3714613926814119
13,-1.3714613926814119
14,-1.3714613926814119
15,-1.3714613926814119
16,-1.3714613926814119
17,-1.3714613926814119
18,-1.7405554820200169
19,-1.8448145181645954
20,-1.8448145181645954
