Generation,Best Fitness
0,-0.6113218390804562
1,-0.6113218390804609
2,-0.6113218390804609
3,-0.6113218390804609
4,-0.6113218390804609
5,-0.6113218390804609
6,-0.6113218390804609
7,-0.6113218390804609
8,-0.6113218390804609
9,-0.6113218390804609
10,-0.6113218390804609
11,-0.6184302325581392
12,-0.6184302325581392
13,-0.6184302325581392
14,-0.6184302325581392
15,-0.6184302325581392
16,-0.6184302325581392
17,-0.6184302325581392
18,-0.7229475982532765
19,-0.7229475982532765
20,-0.7229475982532765
