Fitness,Total Reactions,Length,Net_count,Net_Tox,Network_yield,Gibbs
1.4700718995742605,9,7,4.725,7.801867030497422,1.3179383116883185,-5.562100065093641
0.06508564340984391,13,10,6.542857142857143,6.543107511629635,1.958079777365488,-13.094845342817898
0.0986385676389292,10,8,5.0,2.1552929032883,2.4000000000000083,-5.562100065093641
-2.484715116763064,4,4,2.0,0.398126471061789,2.108701298701299,-12.658650106825158
2.9505090128554077,11,11,5.5,12.304077416327237,2.1087012987012876,-2.63848040399827
-2.5719541639616117,4,4,2.0,0.398126471061789,2.1087012987012996,-13.094845342817898
-1.6953521086776502,7,7,3.5,5.660310540745189,2.108701298701297,-16.224019136081495
-1.5305528310343859,5,5,2.5,1.2011331727172843,2.108701298701298,-9.440845379837267
-0.2240615940378392,13,9,6.95,3.4244700586801127,0.5271753246753267,-14.179015041856319
-1.469833048292677,7,7,3.5,3.658732049406459,2.108701298701298,-13.094845342817898
-3.2524605756154235,4,3,2.0,1.54170211583535,2.1087012987012903,-17.64095304586053
-2.5719541639616135,4,4,2.0,0.398126471061789,2.1087012987013054,-13.094845342817898
0.6766639009395008,15,10,7.95,2.6519654836503053,0.5271753246753242,-10.402882991939812
0.05568357253545253,15,12,7.692857142857143,7.052003948512658,1.4661549165120595,-16.113639425353018
0.242438206881622,16,11,8.15,2.6438261359277417,1.581525974025977,-11.284346140480665
1.4700718995742605,9,7,4.725,7.801867030497422,1.3179383116883185,-5.562100065093641
0.06508564340984391,13,10,6.542857142857143,6.543107511629635,1.958079777365488,-13.094845342817898
0.0986385676389292,10,8,5.0,2.1552929032883,2.4000000000000083,-5.562100065093641
-2.484715116763064,4,4,2.0,0.398126471061789,2.108701298701299,-12.658650106825158
2.9505090128554077,11,11,5.5,12.304077416327237,2.1087012987012876,-2.63848040399827
-2.5719541639616117,4,4,2.0,0.398126471061789,2.1087012987012996,-13.094845342817898
-1.6953521086776502,7,7,3.5,5.660310540745189,2.108701298701297,-16.224019136081495
-1.5305528310343859,5,5,2.5,1.2011331727172843,2.108701298701298,-9.440845379837267
-0.2240615940378392,13,9,6.95,3.4244700586801127,0.5271753246753267,-14.179015041856319
-1.469833048292677,7,7,3.5,3.658732049406459,2.108701298701298,-13.094845342817898
-3.2524605756154235,4,3,2.0,1.54170211583535,2.1087012987012903,-17.64095304586053
-2.5719541639616135,4,4,2.0,0.398126471061789,2.1087012987013054,-13.094845342817898
0.6766639009395008,15,10,7.95,2.6519654836503053,0.5271753246753242,-10.402882991939812
0.05568357253545253,15,12,7.692857142857143,7.052003948512658,1.4661549165120595,-16.113639425353018
0.242438206881622,16,11,8.15,2.6438261359277417,1.581525974025977,-11.284346140480665
2.5117861534653727,13,10,6.95,5.563174158338123,0.5271753246753266,-2.63848040399827
2.3889280493235976,13,13,6.5,10.888096039093407,2.108701298701291,-5.530403844423482
-3.2524605756154235,4,3,2.0,1.54170211583535,2.1087012987012903,-17.64095304586053
301.23947965435127,18,10,9.64,3.6402812636961155,-999,-10.402882991939812
0.05568357253545253,15,12,7.692857142857143,7.052003948512658,1.4661549165120595,-16.113639425353018
-1.9527995350175056,4,4,2.0,0.398126471061789,2.1087012987013005,-9.999072198097366
-2.5719541639616117,4,4,2.0,0.398126471061789,2.1087012987012996,-13.094845342817898
2.0620061646279875,17,11,9.125,7.025413815079751,0.0,-10.402882991939812
