Fitness,Total Reactions,Length,Net_count,Net_Tox,Network_yield,Gibbs
2.5599621610435213,14,9,9.175,2.657146093320022,0.892792968749992,-6.421749350602435
1.5466351351364276,14,10,9.067499999999999,1.361552545155063,2.0436074218749942,-7.676162025722935
2.5634484822386465,17,7,10.446250000000001,3.6522745482044705,0.33428344726562476,-11.058965242479992
405.67165085550994,23,12,14.570576923076924,3.8555808353939556,-999,-2.63848040399827
-0.8450818142464969,10,7,6.4375,4.1958113733620195,2.1587402343749993,-16.978739975844505
8.164745890858216,21,13,13.42724358974359,15.840350894124683,1.0627644230769262,0.2544202268330622
0.22701406343168884,9,5,5.6125,2.8622270953846396,1.870908203125005,-9.210340371976184
1.7724393229089803,19,12,12.076190476190476,2.9604321744978073,1.626479414682539,-14.997657682968782
2.415365975759327,13,8,8.303333333333333,4.076886541112493,1.522311631944443,-5.562100065093641
0.3119896357157357,10,8,6.6,2.1756010505548584,2.3026562499999974,-9.210340371976184
-1.3077098416697197,6,5,4.05,4.89866212184572,2.1107682291666707,-15.315674871860978
4.262490675884009,16,13,10.77142857142857,6.076455659876174,1.644754464285715,-3.017350494741841
4.846122363459611,19,14,12.623076923076924,10.579430380113104,1.0627644230769226,-9.469443562815055
4.725278424707645,26,12,15.748076923076923,9.181908014353915,0.9668204126602612,-15.118028911649017
403.77092897234104,29,6,16.89375,2.3828197335658956,-999,-15.315674871860978
2.5599621610435213,14,9,9.175,2.657146093320022,0.892792968749992,-6.421749350602435
1.5466351351364276,14,10,9.067499999999999,1.361552545155063,2.0436074218749942,-7.676162025722935
2.5634484822386465,17,7,10.446250000000001,3.6522745482044705,0.33428344726562476,-11.058965242479992
405.7116508555099,23,12,14.670576923076924,3.8555808353939556,-999,-2.63848040399827
-0.8450818142464969,10,7,6.4375,4.1958113733620195,2.1587402343749993,-16.978739975844505
8.164745890858216,21,13,13.42724358974359,15.840350894124683,1.0627644230769262,0.2544202268330622
0.22701406343168884,9,5,5.6125,2.8622270953846396,1.870908203125005,-9.210340371976184
1.7724393229089803,19,12,12.076190476190476,2.9604321744978073,1.626479414682539,-14.997657682968782
2.415365975759327,13,8,8.303333333333333,4.076886541112493,1.522311631944443,-5.562100065093641
0.3119896357157357,10,8,6.6,2.1756010505548584,2.3026562499999974,-9.210340371976184
-1.3077098416697197,6,5,4.05,4.89866212184572,2.1107682291666707,-15.315674871860978
4.262490675884009,16,13,10.77142857142857,6.076455659876174,1.644754464285715,-3.017350494741841
