Generation,Best Fitness
0,-2.9469978515139235
1,-2.9469978515139235
2,-2.9469978515139235
3,-3.252460575615426
4,-3.252460575615426
5,-3.252460575615426
6,-3.252460575615426
7,-3.252460575615426
8,-3.252460575615426
9,-3.252460575615426
10,-3.252460575615426
11,-3.252460575615426
12,-3.252460575615426
13,-3.252460575615426
14,-4.441089694198526
15,-4.441089694198526
16,-4.441089694198526
17,-4.441089694198526
18,-4.441089694198526
19,-4.441089694198526
20,-4.441089694198526
