Generation,Best Fitness
0,-0.46200954861111226
1,-0.46200954861111226
2,-0.46200954861111226
3,-0.46200954861111226
4,-0.5530790645879736
5,-0.6315789473684205
6,-0.6315789473684205
7,-0.6315789473684205
8,-0.6315789473684232
9,-0.6315789473684232
10,-0.6315789473684232
11,-0.6315789473684232
12,-0.7058823529411756
13,-0.7058823529411756
14,-0.7058823529411756
15,-0.7058823529411756
16,-0.7058823529411756
17,-0.7058823529411756
18,-0.7058823529411777
19,-0.7058823529411777
20,-0.7058823529411777
