Fitness,Total Reactions,Length,Net_count,Net_Tox,Network_yield,Gibbs
999.0,8,7,4.15,2.065221903387576,-999,-20.603064365813452
-0.2716498838109996,11,7,5.8,6.4872979682575735,0.2716498838109996,-14.313467446154359
999.0,11,5,6.3,1.0657874018935707,-999,-14.676797259424887
999.0,6,5,3.3,2.065221903387576,-999,-5.494030263301678
999.0,11,7,6.1,2.4400938385831368,-999,-14.313467446154359
999.0,9,7,5.1,2.065221903387576,-999,-14.313467446154359
0.0,6,5,3.6,4.377549878797016,0.0,-5.494030263301678
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
999.0,14,7,7.7,2.065221903387576,-999,-16.143808176012286
999.0,10,9,5.075,2.065221903387576,-999,-12.077827049001456
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
999.0,13,10,6.9,10.866816026693193,-999,-1.3666607397570374
999.0,8,7,4.15,0.3303457491225785,-999,-9.401476535243589
999.0,14,11,7.15,11.540317660885776,-999,-7.733326612133328
999.0,6,5,3.3,0.3303457491225785,-999,-5.494030263301678
999.0,8,7,4.15,2.065221903387576,-999,-20.603064365813452
-0.2716498838109996,11,7,5.8,6.4872979682575735,0.2716498838109996,-14.313467446154359
999.0,11,5,6.3100000000000005,1.0657874018935707,-999,-14.676797259424887
999.0,6,5,3.3,2.065221903387576,-999,-5.494030263301678
999.0,11,7,6.1,2.4400938385831368,-999,-14.313467446154359
999.0,9,7,5.1,2.065221903387576,-999,-14.313467446154359
0.0,6,5,3.6,4.377549878797016,0.0,-5.494030263301678
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
999.0,14,7,7.7,2.065221903387576,-999,-16.143808176012286
999.0,10,9,5.075,2.065221903387576,-999,-12.077827049001456
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
999.0,13,10,6.9,10.866816026693193,-999,-1.3666607397570374
999.0,8,7,4.15,0.3303457491225785,-999,-9.401476535243589
999.0,14,11,7.15,11.540317660885774,-999,-7.733326612133328
999.0,6,5,3.3,0.3303457491225785,-999,-5.494030263301678
-0.2716498838109996,11,7,5.8,6.4872979682575735,0.2716498838109996,-14.313467446154359
999.0,10,9,5.075,2.065221903387576,-999,-12.077827049001456
-0.2716498838109996,11,7,5.8,6.4872979682575735,0.2716498838109996,-14.313467446154359
999.0,13,10,6.9,10.866816026693193,-999,-1.3666607397570374
999.0,6,5,3.3,2.065221903387576,-999,-5.494030263301678
999.0,11,5,6.3100000000000005,1.0657874018935707,-999,-14.676797259424887
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
0.0,6,5,3.6,6.112426033062013,0.0,-5.494030263301678
999.0,3,3,1.5,0.3211576936513508,-999,-10.801679421682532
999.0,9,7,5.1,2.065221903387576,-999,-14.313467446154359
999.0,6,5,3.3,0.3303457491225785,-999,-5.494030263301678
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
999.0,14,11,7.15,11.540317660885776,-999,-7.733326612133328
999.0,11,7,6.1,2.4400938385831368,-999,-14.313467446154359
999.0,8,7,4.15,2.065221903387576,-999,-9.401476535243589
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
-0.2716498838109996,11,7,5.8,6.4872979682575735,0.2716498838109996,-14.313467446154359
-0.2716498838109996,11,7,5.8,6.4872979682575735,0.2716498838109996,-14.313467446154359
-0.2716498838109996,11,7,5.8,6.4872979682575735,0.2716498838109996,-14.313467446154359
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
-0.2716498838109996,11,7,5.8,6.4872979682575735,0.2716498838109996,-14.313467446154359
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
0.0,6,5,3.6,6.112426033062013,0.0,-5.494030263301678
0.0,6,5,3.6,6.112426033062013,0.0,-5.494030263301678
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
999.0,8,8,4.0,2.065221903387576,-999,-21.16859090388458
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
999.0,11,8,5.8,2.814319891322762,-999,-12.631218597201826
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
-0.4613235294117639,8,8,4.0,6.112426033062013,0.4613235294117639,-18.45974718203551
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
0.0,6,5,3.6,6.112426033062013,0.0,-5.494030263301678
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
-0.3765929203539834,8,8,4.0,6.112426033062013,0.3765929203539834,-18.45974718203551
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
-0.46200954861111226,12,10,6.1875,10.04212026281676,0.46200954861111226,-4.157598122843762
999.0,8,8,4.0,2.065221903387576,-999,10.519800278571115
999.0,9,9,4.5,6.155184844787174,-999,-9.816825535316603
