Fitness,Total Reactions,Length,Net_count,Net_Tox,Network_yield,Gibbs
8.620625,17,11,8.620625,18.020204200785273,0.6509611855158751,-8.922628595501461
5.15,10,8,5.15,1.970341978721941,0.5925903614457834,8.12802769242153
4.56,9,7,4.56,6.70983047667362,0.7111084337349406,-11.152134755911081
5.62,11,9,5.62,4.144253089921671,0.6320963855421697,-1.3154872599612961
3.0,6,6,3.0,1.970341978721941,0.7901204819277108,-5.662121167196629
9.0,18,11,9.0,48.11201584408799,0.7901204819277116,-10.299969943087408
5.0,10,10,5.0,1.7306909122535383,0.8072932330827072,-7.09523046202563
3.0,6,6,3.0,3.465567066518536,0.7901204819277128,-14.88836180255976
13.524258241758242,26,14,13.524258241758242,17.090182405338982,0.12179441322984234,-5.6593534654825675
4.55,9,8,4.55,4.802057676136007,0.7857142857142871,-6.201009734197223
7.8375,15,12,7.8375,5.5912929272221135,0.34567771084337373,-5.6593534654825675
5.8,11,10,5.8,4.6456520240432235,0.39506024096385517,-5.6593534654825675
11.55,22,13,11.55,40.88465901531394,0.09876506024096426,4.167360383810202
3.5,7,7,3.5,1.7306909122535383,0.8072932330827072,-2.097230552327508
2.5,5,4,2.5,4.144253089921671,0.7901204819277114,-6.624901140263805
8.620625,17,11,8.620625,18.020204200785273,0.6509611855158751,-8.922628595501461
5.15,10,8,5.15,1.970341978721941,0.5925903614457834,8.12802769242153
4.575,9,7,4.575,6.709830476673622,0.6913554216867478,-11.152134755911081
5.62,11,9,5.62,4.144253089921671,0.6320963855421697,-1.3154872599612961
3.0,6,6,3.0,1.970341978721941,0.7901204819277108,-5.662121167196629
9.0,18,11,9.0,48.11201584408799,0.7901204819277116,-10.299969943087408
5.0,10,10,5.0,1.7306909122535383,0.8072932330827072,-7.09523046202563
3.0,6,6,3.0,3.465567066518536,0.7901204819277128,-14.88836180255976
13.521153846153846,26,14,13.521153846153846,17.090182405338982,0.10066438832252078,-5.6593534654825675
4.55,9,8,4.55,4.802057676136007,0.7857142857142871,-6.201009734197223
7.8375,15,12,7.8375,5.5912929272221135,0.34567771084337373,-5.6593534654825675
5.8,11,10,5.8,4.6456520240432235,0.39506024096385517,-5.6593534654825675
11.55,22,13,11.55,40.88465901531394,0.15864137801204878,4.167360383810202
3.5,7,7,3.5,1.7306909122535383,0.8072932330827072,-2.097230552327508
2.5,5,4,2.5,4.144253089921671,0.7901204819277114,-6.624901140263805
3.5,7,7,3.5,1.7306909122535383,0.8072932330827072,-2.097230552327508
5.0,10,10,5.0,1.7306909122535383,0.8072932330827072,-7.09523046202563
5.62,11,9,5.62,4.144253089921671,0.6320963855421697,-1.3154872599612961
4.56,9,7,4.56,6.70983047667362,0.7111084337349406,-11.152134755911081
5.8,11,10,5.8,4.6456520240432235,0.39506024096385517,-5.6593534654825675
13.160844155844156,26,17,13.160844155844156,26.245617741386777,0.6071618520368529,-11.701594468224409
4.55,9,8,4.55,4.802057676136007,0.7857142857142871,-6.201009734197223
6.3,13,12,6.3,3.856416772957117,0.39506024096385534,-5.6593534654825675
2.5,5,5,2.5,4.144253089921671,0.7901204819277122,-6.624901140263805
9.0,18,11,9.0,48.11201584408799,0.7901204819277116,-10.299969943087408
2.5,5,4,2.5,4.144253089921671,0.7901204819277114,-6.624901140263805
3.0,6,6,3.0,3.465567066518536,0.7901204819277128,-14.88836180255976
5.15,10,8,5.15,1.970341978721941,0.5925903614457834,8.12802769242153
11.55,22,13,11.55,40.88465901531394,0.15864137801204878,4.167360383810202
7.33,14,12,7.33,5.747698579314898,0.3555542168674697,6.705409947743718
2.5,5,5,2.5,4.144253089921671,0.7901204819277122,-6.624901140263805
5.62,11,9,5.62,4.144253089921671,0.6320963855421697,-1.3154872599612961
2.5,5,4,2.5,4.144253089921671,0.7901204819277114,-6.624901140263805
2.5,5,5,2.5,4.144253089921671,0.7901204819277122,-6.624901140263805
3.5,7,7,3.5,1.7306909122535383,0.8072932330827072,-2.097230552327508
2.5,5,5,2.5,4.144253089921671,0.7901204819277122,-6.624901140263805
2.5,5,5,2.5,4.144253089921671,0.7901204819277122,-6.624901140263805
3.0,6,6,3.0,3.465567066518536,0.7901204819277128,-14.88836180255976
3.5,7,7,3.5,1.7306909122535383,0.8072932330827072,-2.097230552327508
2.5,5,4,2.5,4.144253089921671,0.7901204819277114,-6.624901140263805
4.56,9,7,4.56,6.70983047667362,0.7111084337349406,-11.152134755911081
5.0,10,10,5.0,1.7306909122535383,0.8072932330827072,-7.09523046202563
3.0,6,6,3.0,3.465567066518536,0.7901204819277128,-14.88836180255976
6.3,13,12,6.3,3.856416772957117,0.39506024096385534,-5.6593534654825675
3.0,6,6,3.0,3.465567066518536,0.7901204819277128,-14.88836180255976
5.0,10,10,5.0,1.7306909122535383,0.8072932330827072,-7.09523046202563
2.5,5,5,2.5,4.144253089921671,0.7901204819277122,-6.624901140263805
4.575,9,7,4.575,6.709830476673622,0.6913554216867478,-11.152134755911081
3.0,6,6,3.0,3.465567066518536,0.7901204819277128,-14.88836180255976
2.5,5,5,2.5,4.144253089921671,0.7901204819277122,-6.624901140263805
3.0,6,6,3.0,3.465567066518536,0.7901204819277128,-14.88836180255976
5.05,10,8,5.05,8.990806755435512,0.7242771084337362,-7.074881703410362
2.5,5,5,2.5,4.144253089921671,0.7901204819277122,-6.624901140263805
2.5,5,5,2.5,4.144253089921671,0.7901204819277122,-6.624901140263805
3.0,6,6,3.0,3.465567066518536,0.7901204819277128,-14.88836180255976
2.5,5,5,2.5,4.267809251663664,0.7901204819277128,-7.074881703410362
2.5,5,4,2.5,4.144253089921671,0.7901204819277114,-6.624901140263805
4.56,9,7,4.56,6.70983047667362,0.7111084337349406,-11.152134755911081
7.5,15,13,7.5,8.692020881277124,0.790120481927712,6.6061329048765565
2.5,5,5,2.5,4.144253089921671,0.7901204819277122,-6.624901140263805
2.5,5,5,2.5,4.144253089921671,0.7901204819277122,-6.624901140263805
2.5,5,4,2.5,4.144253089921671,0.7901204819277114,-6.624901140263805
5.05,10,8,5.05,8.990806755435512,0.7242771084337362,-7.074881703410362
5.0,10,10,5.0,1.7306909122535383,0.8072932330827072,-7.09523046202563
2.5,5,5,2.5,4.267809251663664,0.7901204819277128,-7.074881703410362
3.0,6,6,3.0,3.465567066518536,0.7901204819277128,-14.88836180255976
3.0,6,6,3.0,3.465567066518536,0.7901204819277128,-14.88836180255976
2.5,5,4,2.5,4.144253089921671,0.7901204819277114,-6.624901140263805
2.5,5,4,2.5,4.144253089921671,0.7901204819277114,-6.624901140263805
2.5,5,4,2.5,4.144253089921671,0.7901204819277114,-6.624901140263805
