Generation,Best Fitness
0,-0.8072932330827081
1,-3.0715094339622575
2,-3.071509433962318
3,-3.071509433962318
4,-3.071509433962318
5,-3.071509433962318
6,-3.071509433962318
7,-3.071509433962318
8,-3.071509433962318
9,-3.071509433962318
10,-3.071509433962318
11,-3.071509433962318
12,-3.071509433962318
13,-3.071509433962318
14,-3.071509433962318
15,-3.071509433962318
16,-3.071509433962318
17,-3.071509433962318
18,-3.071509433962318
19,-3.071509433962318
20,-3.071509433962318
