Reactions: R12540,R03794,R06633,R02672,R01293,R01296,R10136,R05273 | Compounds: C00082,C05650,C03198,C03590,C00633,C00156,C00230,C06672,C00755
Reactions: R00728,R11653,R00822,R07668,R05699 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R10246,R08862,R07668,R05273 | Compounds: C00082,C00073,C06453,C06672,C00755
Reactions: R08825,R08826,R08829,R08821,R03672,R08846,R11206,R07826,R01308,R01298,R10136,R05273 | Compounds: C00082,C08565,C17753,C08539,C05604,C00355,C10447,C01197,C00811,C00156,C00230,C06672,C00755
Reactions: R00728,R10043,R00822,R10136,R05273 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R12540,R03794,R04160,R02672,R01303,R01296,R10136,R05273 | Compounds: C00082,C05650,C03198,C03590,C00633,C00156,C00230,C06672,C00755
Reactions: R12759,R10043,R00818,R07709,R02589,R01628,R05274,R05699 | Compounds: C00082,C00146,C00090,C00805,C00628,C00587,C00230,C06672,C00755
Reactions: R00728,R01238,R01301,R05316,R02449,R09589,R01628,R10136,R05273 | Compounds: C00082,C00146,C00156,C02949,C00512,C05195,C00587,C00230,C06672,C00755
Reactions: R00728,R11653,R00822,R10136,R05273 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R00728,R01238,R01296,R05274,R05273 | Compounds: C00082,C00146,C00156,C00230,C06672,C00755
Reactions: R12540,R03794,R06633,R02672,R01293,R01296,R10136,R05699 | Compounds: C00082,C05650,C03198,C03590,C00633,C00156,C00230,C06672,C00755
Reactions: R09254,R06632,R02673,R01303,R01301,R05316,R02449,R09589,R01628,R10136,R05273 | Compounds: C00082,C01179,C03198,C00633,C00156,C02949,C00512,C05195,C00587,C00230,C06672,C00755
Reactions: R12540,R03794,R04160,R02672,R01303,R01296,R10136,R05699 | Compounds: C00082,C05650,C03198,C03590,C00633,C00156,C00230,C06672,C00755
Reactions: R00736,R02382,R02695,R02698,R03302,R04300,R04301,R07240,R12302 | Compounds: C00082,C00483,C03765,C00642,C01161,C04043,C03758,C00021,C10469,C00755
Reactions: R00728,R11653,R00822,R07668,R05273 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R09830,R03337,R08766,R01308,R01295,R08838,R07710,R02489,R05482,R02562,R05280,R05274,R05273 | Compounds: C00082,C01179,C03964,C00811,C00156,C00180,C00805,C00628,C00530,C02372,C00568,C00230,C06672,C00755
Reactions: R12540,R03794,R04160,R02672,R01293,R01296,R07668,R05273 | Compounds: C00082,C05650,C03198,C03590,C00633,C00156,C00230,C06672,C00755
Reactions: R00728,R10043,R00822,R07668,R05273 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R00728,R01238,R01298,R10136,R05273 | Compounds: C00082,C00146,C00156,C00230,C06672,C00755
Reactions: R00728,R11653,R00821,R01508,R01628,R07668,R05699 | Compounds: C00082,C00146,C00090,C00196,C00587,C00230,C06672,C00755
