Reactions: R00728,R00815,R00822,R10136,R05273 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R10246,R03568,R05294,R05281,R05271,R05272,R01636,R07668,R05699 | Compounds: C00082,C01468,C06730,C06677,C06678,C06679,C02236,C00230,C06672,C00755
Reactions: R12759,R01238,R01298,R05274,R05273 | Compounds: C00082,C00146,C00156,C00230,C06672,C00755
Reactions: R00728,R05625,R05603,R01298,R07668,R05273 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R00728,R05625,R05603,R01298,R10136,R05699 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R00728,R00815,R00817,R03959,R04260,R03470,R03307,R01631,R07668,R05699 | Compounds: C00082,C00146,C00090,C02480,C04105,C03586,C01278,C01163,C00230,C06672,C00755
Reactions: R00728,R11653,R00822,R07668,R05699 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R00728,R00815,R00821,R01508,R01628,R07668,R05699 | Compounds: C00082,C00146,C00090,C00196,C00587,C00230,C06672,C00755
Reactions: R10246,R02675,R01303,R01298,R05274,R05699 | Compounds: C00082,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R00728,R01238,R01296,R01637,R03551,R09271,R10136,R05699 | Compounds: C00082,C00146,C00156,C00230,C01424,C05616,C00440,C06672,C00755
Reactions: R00728,R11653,R00818,R07709,R02589,R01628,R10136,R05273 | Compounds: C00082,C00146,C00090,C00805,C00628,C00587,C00230,C06672,C00755
Reactions: R10246,R02675,R01294,R01298,R10136,R05699 | Compounds: C00082,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R00728,R05625,R05603,R01296,R10136,R05273 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R12161,R08875,R07668,R05699 | Compounds: C00082,C05198,C06453,C06672,C00755
Reactions: R10246,R12133,R12134,R01293,R01298,R10136,R05699 | Compounds: C00082,C01468,C17467,C00633,C00156,C00230,C06672,C00755
Reactions: R06626,R00734,R00258,R01302,R10597,R01628,R05274,R05699 | Compounds: C00082,C01179,C00026,C00022,C00251,C00587,C00230,C06672,C00755
Reactions: R01795,R11918,R02536,R05487,R05450,R02518,R02657,R02589,R01628,R10136,R05699 | Compounds: C00082,C00079,C00601,C07086,C05852,C00544,C05585,C00628,C00587,C00230,C06672,C00755
Reactions: R00728,R05625,R05603,R01298,R07668,R05699 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R06626,R00734,R00258,R12212,R00350,R04399,R03550,R01637,R10136,R05273 | Compounds: C00082,C01179,C00026,C00022,C00036,C04115,C04324,C01424,C00230,C06672,C00755
Reactions: R00728,R01238,R01297,R02489,R02589,R01628,R05274,R05699 | Compounds: C00082,C00146,C00156,C00530,C00628,C00587,C00230,C06672,C00755
Reactions: R10246,R03568,R05294,R05281,R05271,R05272,R01636,R10136,R05273 | Compounds: C00082,C01468,C06730,C06677,C06678,C06679,C02236,C00230,C06672,C00755
Reactions: R00728,R11653,R00821,R01508,R01628,R05274,R05273 | Compounds: C00082,C00146,C00090,C00196,C00587,C00230,C06672,C00755
Reactions: R00728,R01238,R01296,R07668,R05273 | Compounds: C00082,C00146,C00156,C00230,C06672,C00755
Reactions: R10246,R02675,R01303,R01296,R05274,R05273 | Compounds: C00082,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R00728,R05625,R05603,R01296,R05274,R05699 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R00728,R01238,R01294,R02675,R07663,R05281,R05271,R05272,R01636,R10136,R05273 | Compounds: C00082,C00146,C00156,C00633,C01468,C06677,C06678,C06679,C02236,C00230,C06672,C00755
Reactions: R00728,R09539,R07709,R02589,R01628,R05274,R05273 | Compounds: C00082,C00146,C00805,C00628,C00587,C00230,C06672,C00755
