Fitness,Total Reactions,Length,Net_count,Net_Tox,Network_yield
403.15436363653305,12,6,7.91,1.951818182665042,-999
407.4249483081604,21,9,12.738333333333333,13.648074874135345,-999
407.203106874251,26,9,15.292857142857143,7.429820085540495,-999
402.6095055634821,9,5,6.235,2.577527817410383,-999
410.9070329593263,40,13,23.27069597069597,9.993772855239282,-999
402.6625303326291,11,5,7.235,0.8426516631453853,-999
403.21097044871976,12,5,7.535,2.984852243598657,-999
4.102136865607441,11,5,7.0225,6.62473194708482,0.07952380952381007
404.72287876684277,12,4,6.8,12.014393834213871,-999
405.5028282504825,19,8,11.180357142857142,7.153426966697873,-999
403.21097044871976,12,5,7.535,2.984852243598657,-999
402.77264842062493,10,7,6.642857142857143,2.577527817410383,-999
403.886971158564,13,5,8.2725,4.889855792819823,-999
407.63327972275033,28,9,16.770833333333332,6.62473194708482,-999
405.1208569284363,12,6,7.9,11.804284642181308,-999
403.15436363653305,12,6,7.91,1.951818182665042,-999
403.15436363653305,12,6,7.91,1.951818182665042,-999
403.853946389417,11,5,7.3225,6.62473194708482,-999
8.453602258522434,22,9,13.282083333333334,15.960402849544783,0.1282791117996391
407.2779730773074,22,9,13.238333333333333,11.913198719870348,-999
407.203106874251,26,9,15.292857142857143,7.429820085540495,-999
407.203106874251,26,9,15.292857142857143,7.429820085540495,-999
403.853946389417,11,5,7.3225,6.62473194708482,-999
402.6095055634821,9,5,6.235,2.577527817410383,-999
403.853946389417,11,5,7.3225,6.62473194708482,-999
402.6425303326291,11,5,7.185,0.8426516631453853,-999
405.93762280766407,22,8,14.367857142857142,2.952399752605944,-999
402.6625303326291,11,5,7.235,0.8426516631453853,-999
403.853946389417,11,5,7.3225,6.62473194708482,-999
403.21097044871976,12,5,7.535,2.984852243598657,-999
403.21097044871976,12,5,7.535,2.984852243598657,-999
4.102136865607441,11,5,7.0225,6.62473194708482,0.07952380952381007
4.097267079072137,11,5,7.0225,6.62473194708482,0.09169827586206888
404.72287876684277,12,4,6.8,12.014393834213871,-999
404.72287876684277,12,4,6.8,12.014393834213871,-999
404.72287876684277,12,4,6.8,12.014393834213871,-999
405.5028282504825,19,8,11.180357142857142,7.153426966697873,-999
405.5028282504825,19,8,11.180357142857142,7.153426966697873,-999
6.884931294134029,19,8,11.230357142857143,12.935507250637308,0.48578253284072387
404.05541127465466,12,5,7.6225000000000005,7.032056373273093,-999
403.21097044871976,12,5,7.535,2.984852243598657,-999
4.097267079072137,11,5,7.0225,6.62473194708482,0.09169827586206888
405.9095505601089,18,11,11.492272727272727,8.563207345999155,-999
402.77264842062493,10,7,6.642857142857143,2.577527817410383,-999
4.28024715570049,12,7,7.701190476190477,6.62473194708482,0.3129385604816641
403.886971158564,13,5,8.2725,4.889855792819823,-999
403.886971158564,13,5,8.2725,4.889855792819823,-999
4.097267079072137,11,5,7.0225,6.62473194708482,0.09169827586206888
404.8609561409974,19,7,11.676190476190476,2.9523997526059436,-999
404.006971158564,13,5,8.5725,4.889855792819823,-999
402.4895055634821,9,5,5.935,2.577527817410383,-999
403.03436363653304,12,6,7.61,1.951818182665042,-999
4.097267079072137,11,5,7.0225,6.62473194708482,0.09169827586206888
402.5425303326291,11,5,6.935,0.8426516631453853,-999
3.754373172506645,11,5,7.0225,4.889855792819823,0.08149496514329939
9.001818587358077,23,9,13.782083333333334,17.69527900380978,0.12517636684303393
407.2560531520228,28,9,16.34107142857143,5.598122902970992,-999
407.2560531520228,28,9,16.34107142857143,5.598122902970992,-999
4.097267079072137,11,5,7.0225,6.62473194708482,0.09169827586206888
402.4895055634821,9,5,5.935,2.577527817410383,-999
402.5425303326291,11,5,6.935,0.8426516631453853,-999
4.102136865607441,11,5,7.0225,6.62473194708482,0.07952380952381007
402.6425303326291,11,5,7.185,0.8426516631453853,-999
402.5425303326291,11,5,6.935,0.8426516631453853,-999
3.749865344610477,11,5,7.0225,4.889855792819823,0.0927645348837207
402.825673189772,12,7,7.642857142857143,0.8426516631453853,-999
402.825673189772,12,7,7.642857142857143,0.8426516631453853,-999
3.931816396659203,12,7,7.701190476190477,4.889855792819823,0.3165773809523813
402.4895055634821,9,5,5.935,2.577527817410383,-999
4.097267079072137,11,5,7.0225,6.62473194708482,0.09169827586206888
3.749865344610477,11,5,7.0225,4.889855792819823,0.0927645348837207
4.097267079072137,11,5,7.0225,6.62473194708482,0.09169827586206888
4.097267079072137,11,5,7.0225,6.62473194708482,0.09169827586206888
3.749865344610477,11,5,7.0225,4.889855792819823,0.0927645348837207
4.102136865607441,11,5,7.0225,6.62473194708482,0.07952380952381007
402.5425303326291,11,5,6.935,0.8426516631453853,-999
3.749865344610477,11,5,7.0225,4.889855792819823,0.0927645348837207
4.102136865607441,11,5,7.0225,6.62473194708482,0.07952380952381007
404.05541127465466,12,5,7.6225000000000005,7.032056373273093,-999
3.749865344610477,11,5,7.0225,4.889855792819823,0.0927645348837207
4.102136865607441,11,5,7.0225,6.62473194708482,0.07952380952381007
405.6241890882475,17,9,10.778869047619049,8.563207345999155,-999
3.749865344610477,11,5,7.0225,4.889855792819823,0.0927645348837207
407.5239977649135,23,11,13.835129870129869,11.949729084307496,-999
407.5239977649135,23,11,13.835129870129869,11.949729084307496,-999
6.535696609639909,19,8,11.230357142857143,11.200631096372309,0.4914311669435253
409.74791005858754,32,12,19.237897727272724,12.263754838391984,-999
404.8609561409974,19,7,11.676190476190476,2.9523997526059436,-999
3.749865344610477,11,5,7.0225,4.889855792819823,0.0927645348837207
402.7295055634821,10,5,6.535,2.577527817410383,-999
