Generation,Best Fitness
0,-1.3437499440804133
1,-1.3437499440804133
2,-1.3437499440804133
3,-1.3620116435878034
4,-1.3620116435878034
5,-1.3620116435878034
6,-1.3620116435878034
7,-1.3620116435878034
8,-1.3620116435878034
9,-1.4078612886182285
10,-1.4078612886182285
11,-1.4078612886182285
12,-1.4078612886182285
13,-1.4078612886182285
14,-1.4078612886182285
15,-1.4078612886182285
16,-1.4078612886182285
17,-1.4078612886182285
18,-1.4078612886182285
19,-1.4078612886182285
20,-1.4078612886182285
