Generation,Best Fitness
0,-2.302656250000016
1,-2.302656250000019
2,-2.302656250000019
3,-2.302656250000019
4,-2.302656250000019
5,-2.302656250000019
6,-2.302656250000019
7,-2.318281249999989
8,-16.310694444444316
9,-16.310694444444316
10,-16.310694444444316
11,-16.310694444444316
12,-16.310694444444525
13,-16.310694444444525
14,-16.310694444444525
15,-16.310694444444525
16,-16.310694444444525
17,-16.310694444444525
18,-16.310694444444525
19,-16.310694444444525
20,-16.310694444444525
