Reactions: R09830,R09254,R12622 | Compounds: C00082,C01179,C00022,C00755
Reactions: R09830,R02521,R02515,R03299,R03306,R05474,R05480,R05344,R05252,R01307,R01296,R10136,R05273 | Compounds: C00082,C01179,C00544,C05593,C01161,C03077,C06646,C06647,C06648,C02370,C00156,C00230,C06672,C00755
Reactions: R09830,R03337,R12492,R01308,R01296,R10136,R05273 | Compounds: C00082,C01179,C03964,C00811,C00156,C00230,C06672,C00755
Reactions: R09830,R02521,R02520,R02655,R02489,R06851,R01630,R05274,R05699 | Compounds: C00082,C01179,C00544,C05585,C00628,C00530,C02814,C00230,C06672,C00755
Reactions: R09830,R02521,R02518,R02657,R07709,R08838,R01295,R01298,R10136,R05699 | Compounds: C00082,C01179,C00544,C05585,C00628,C00805,C00180,C00156,C00230,C06672,C00755
Reactions: R09830,R06626,R02672,R01293,R01298,R05274,R05699 | Compounds: C00082,C01179,C03590,C00633,C00156,C00230,C06672,C00755
Reactions: R09830,R02521,R02520,R02655,R02489,R05482,R02562,R05280,R07668,R05273 | Compounds: C00082,C01179,C00544,C05585,C00628,C00530,C02372,C00568,C00230,C06672,C00755
Reactions: R11917,R02695,R07312,R02675,R01303,R01298,R10136,R05273 | Compounds: C00082,C03765,C00642,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R09830,R06632,R03794,R07664,R09559,R08956,R01714,R03460,R02412,R02416,R06582,R10701,R03366,R02194,R12566 | Compounds: C00082,C01179,C03198,C01984,C01847,C18054,C00251,C01269,C03175,C00493,C02947,C10434,C01197,C01494,C00406,C00755
Reactions: R00737,R01308,R01298,R07668,R05273 | Compounds: C00082,C00811,C00156,C00230,C06672,C00755
Reactions: R09830,R02521,R02520,R02655,R07710,R00818,R10043,R01238,R01296,R05274,R05273 | Compounds: C00082,C01179,C00544,C05585,C00628,C00805,C00090,C00146,C00156,C00230,C06672,C00755
Reactions: R00732,R01731,R01715,R01302,R01298,R07668,R05699 | Compounds: C00082,C00826,C00254,C00251,C00156,C00230,C06672,C00755
Reactions: R09830,R02521,R02520,R02655,R02489,R06851,R01629,R07668,R05273 | Compounds: C00082,C01179,C00544,C05585,C00628,C00530,C02814,C00230,C06672,C00755
Reactions: R12540,R07211,R07213,R12032,R03704,R07168,R10136,R05273 | Compounds: C00082,C00079,C15522,C00078,C00016,C00143,C00440,C06672,C00755
Reactions: R09830,R02521,R02520,R02657,R07709,R09539,R05625,R05603,R01296,R10136,R05273 | Compounds: C00082,C01179,C00544,C05585,C00628,C00805,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R09830,R03337,R12492,R01308,R01298,R05274,R05699 | Compounds: C00082,C01179,C03964,C00811,C00156,C00230,C06672,C00755
Reactions: R07211,R11918,R02537,R06791,R02517,R02520,R02655,R02589,R01628,R07668,R05273 | Compounds: C00082,C00079,C00601,C07086,C05593,C00544,C05585,C00628,C00587,C00230,C06672,C00755
Reactions: R09830,R02521,R02518,R02655,R02589,R01628,R05274,R05273 | Compounds: C00082,C01179,C00544,C05585,C00628,C00587,C00230,C06672,C00755
Reactions: R09830,R02521,R02520,R02655,R02589,R01628,R10136,R05273 | Compounds: C00082,C01179,C00544,C05585,C00628,C00587,C00230,C06672,C00755
Reactions: R09830,R02521,R02520,R02655,R02589,R01628,R05274,R05699 | Compounds: C00082,C01179,C00544,C05585,C00628,C00587,C00230,C06672,C00755
Reactions: R09830,R02521,R02520,R02655,R02589,R01628,R10136,R05699 | Compounds: C00082,C01179,C00544,C05585,C00628,C00587,C00230,C06672,C00755
Reactions: R09830,R02521,R02516,R07312,R07663,R05281,R05271,R05272,R01636,R07668,R05273 | Compounds: C00082,C01179,C00544,C00642,C01468,C06677,C06678,C06679,C02236,C00230,C06672,C00755
Reactions: R12759,R10043,R00822,R10136,R05273 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
