Reactions: R12759,R05625,R05603,R01296,R10136,R05273 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01303,R02675,R07663,R05281,R05271,R05272,R01636,R10136,R05699 | Compounds: C00082,C00146,C02734,C00156,C00633,C01468,C06677,C06678,C06679,C02236,C00230,C06672,C00755
Reactions: R12759,R01238,R01298,R10136,R05273 | Compounds: C00082,C00146,C00156,C00230,C06672,C00755
Reactions: R06626,R00042,R07312,R03568,R05294,R05281,R05271,R05272,R01636,R05274,R05273 | Compounds: C00082,C01179,C00642,C01468,C06730,C06677,C06678,C06679,C02236,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01297,R06851,R01630,R10136,R05273 | Compounds: C00082,C00146,C02734,C00156,C00530,C02814,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01298,R05274,R05273 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01298,R10136,R05273 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01297,R06851,R01630,R07668,R05699 | Compounds: C00082,C00146,C02734,C00156,C00530,C02814,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01297,R06851,R01630,R10136,R05699 | Compounds: C00082,C00146,C02734,C00156,C00530,C02814,C00230,C06672,C00755
Reactions: R11917,R03341,R06632,R02673,R01294,R01298,R05274,R05273 | Compounds: C00082,C03765,C01179,C03198,C00633,C00156,C00230,C06672,C00755
Reactions: R12759,R10043,R00822,R10136,R05273 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R06626,R10880,R10881,R01402,R12621,R11293,R07668,R05273 | Compounds: C00082,C12323,C17355,C00170,C00147,C05198,C06453,C06672,C00755
Reactions: R12759,R05625,R05603,R01297,R05482,R02562,R05280,R05274,R05273 | Compounds: C00082,C00146,C02734,C00156,C00530,C02372,C00568,C00230,C06672,C00755
Reactions: R00728,R09539,R07709,R02589,R01628,R05274,R05699 | Compounds: C00082,C00146,C00805,C00628,C00587,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01298,R10136,R05699 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R12759,R10043,R00822,R07668,R05699 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R06626,R06632,R02673,R01293,R01296,R07668,R05699 | Compounds: C00082,C01179,C03198,C00633,C00156,C00230,C06672,C00755
Reactions: R12161,R08873,R07668,R05273 | Compounds: C00082,C05198,C06453,C06672,C00755
Reactions: R12759,R05625,R05603,R01297,R06851,R11348,R05250,R03247,R01637,R10136,R05699 | Compounds: C00082,C00146,C02734,C00156,C00530,C02814,C01751,C01108,C01424,C00230,C06672,C00755
Reactions: R12161,R01078,R03182,R10699,R10124,R12343,R12622 | Compounds: C00082,C00073,C01909,C01037,C01092,C00041,C00022,C00755
Reactions: R07211,R00695,R00373,R13029,R12967,R01670,R02237,R03067,R05280,R10136,R05699 | Compounds: C00082,C00079,C00049,C00037,C00213,C00143,C00415,C00921,C00568,C00230,C06672,C00755
Reactions: R07211,R00695,R00373,R13029,R12967,R01670,R02237,R03067,R05280,R05274,R05273 | Compounds: C00082,C00079,C00049,C00037,C00213,C00143,C00415,C00921,C00568,C00230,C06672,C00755
