Generation,Best Fitness
0,-0.45274980635166673
1,-0.45274980635166673
2,-0.5153585271317801
3,-0.5153585271317841
4,-0.5153585271317841
5,-0.5153585271317841
6,-0.5224022988505735
7,-0.5224022988505735
8,-0.5224022988505735
9,-0.5224022988505735
10,-0.5224022988505735
11,-0.5224022988505735
12,-0.5676559934318564
13,-0.5676559934318564
14,-0.5903197674418619
15,-0.5903197674418619
16,-0.5903197674418619
17,-0.5903197674418619
18,-0.5903197674418619
19,-0.6426265822784818
20,-0.6426265822784818
